dundalk_bay;000024
nochemoweniing;22d77e
binawangan;22d788
atlantic_gulf_stream24;22d792
north_eastern_atlantic81;22d79c
lianga_bay;22d7a6
lou_island;22d7ab
norwegian_sea14;22d7bf
bocaiuva_forest;22d801
haen_uplands;22d80b
vaymuga;22d81f
farim_iran;22d829
mongoffa;22d833
reeve_shore;22d8d3
mona_passage;22d8dd
chott_tinsilt;22d8e7
indian_equatorialcountercurrent19;22d8f1
talibon;22d96a
maxakali_jungle;22d97e
kechemeche;22d98d
bermuda_high_sea3;22d997
nat_oot_en;22d9a1
ohatchee;22da01
zakht;22da15
tangcheng;22da24
gojijin;22da2e
otnabog;22da42
coral_shore;22dac9
kesagami_lake;22dae2
afua_coast;22daf6
siimitalik;22db6a
pacific_south_current71;22db6f
jervis_bay;22db79
phuket_coast;22db97
ouachita_mts;22dbab
african_high_sea33;22dbb5
ozero_pavylon;22dc10
st_gerand;22dc2e
san_carlos_bay;22dcce
cape_may;22dce2
semyonov;22dcf6
taungup;22dd4c
shamakhi;22dd51
al_mashqar;22dd5b
ngarinyin;22dd65
kusmuryn;22dd6f
tubigarao;22dd8d
lop;22dd97
tilsit;22dd9c
south_china_sea13;22ddb0
moorea_coast;22ddba
dargaz;22de06
kota_pinang;22de24
kapyl;22de2e
ust_livny;22dec4
lake_seliger;22ded8
indonesia_high_sea33;22dee2
lagoon_of_sanguinet;22dee7
pukarua_coast;22def1
bagansiapipi;22df47
kyr_uzkand;22df51
nakop;22df5b
pasaman;22df65
nisohone;22df6f
pengshan;22df79
taiping;22df7e
parita_gulf;22df88
al_mardamah;22df92
north_pacific_high_sea15;22dfa6
cantwell;22e010
dalai_nuur;22e01f
west_cyclades;22e0ba
south_china_sea22;22e0c4
arnstadt;22e0d3
eucla_shore;22e0dd
iaremappo_coast;22e0e7
indonesia_high_sea67;22e0fb
manuri;22e160
santana_island;22e17e
lake_nam;22e1a6
doole_coast;22e1ab
salaspils;22e20b
huehuetan;22e21f
xijir_ulan_lake;22e2b5
ossabaw_sound;22e2bf
vembanad_lake;22e2c9
north_eastern_atlantic21;22e2d3
salah_point;22e2e7
aguasabon;22e333
mokshan;22e342
north_pacific_high_sea96;22e34c
fangshan_lishi;22e360
qilian;22e36a
yeppoon_coast;22e37e
mamberano_mouth;22e38d
north_makassar_strait;22e3ab
guazacapan;22e41f
african_high_sea6;22e4b5
florida_keys;22e4bf
rach_gia_bay;22e4c9
maruata_coast;22e4d8
ozero_bol_shoye;22e4e2
fangatau_coast_1;22e4f6
wakmua_oin;22e52e
xisha;22e538
chengxiang;22e54c
ralik_high_sea_7;22e556
lyakhavichy;22e560
conococheague;22e56a
hatchie;22e56f
thoire;22e579
mele_bay;22e58d
bela;22e597
terek;22e601
nochistlan;22e61a
yunnan;22e624
matchin_bay;22e6ab
te_henua_enana_high_sea_5;22e6b5
zhengjia_bay;22e6c4
indian_coast14;22e6ce
western_atlantic_high_sea14;22e6d8
yaransk;22e6e2
indonesia_high_sea46;22e6ec
mbegela_coast;22e6f6
quan_da_chau;22e72e
gaoyuan_jinan;22e742
jeziarysca;22e74c
western_atlantic_high_sea51;22e779
frio_cape;22e78d
rawaki_high_sea_5;22e797
paita_bay;22e79c
pascagoula;22e810
huon_gulf;22e8a6
arabian_sea7;22e8b0
lahad_latu_bay;22e8c4
indian_coast9;22e8ce
south_china_sea35;22e8e2
indonesia_high_sea8;22e8e7
jiboia_jungle;22e924
batchawana;22e92e
savaii;22e933
changle_xunzhou;22e93d
ponta_grossa;22e95b
nyaki_nyaki;22e965
agh_qala;22e979
tissint;22e99c
gulf_castellammare;22ea10
new_zealand_high_sea_28;22eaa6
gulf_gela;22eab0
caroline_coast;22eaba
east_china_sea1;22ead3
northern_bohai_bay;22eadd
taravao_bay;22eae7
moona_mpanda;22eaf1
bawean;22eb29
znobov;22eb33
gulf_policastro;22eb6a
huanzhou;22eb74
western_atlantic_high_sea42;22eb7e
east_pacific_high_sea41;22eb88
mandandanji;22ec15
bolshie_krugovichi;22ec9c
lake_tondano;22eca6
germersheim;22ecab
walker_bay;22ecb5
african_high_sea50;22ecc9
akpatok_island2;22ecd3
ngulu_coast;22ecdd
nendo_coast;22ece7
baependi;22ed1f
rembarnga;22ed56
xiriquitzio;22ed74
pacific_equatorial_countercurrent14;22ee97
cape_bawang;22eea1
lake_achinos;22eeb5
african_high_sea20;22eebf
african_high_sea49;22eec9
rokia_point;22eee2
bang_keng;22ef15
duse_alin;22ef1f
veligosti;22ef2e
markha;22ef38
olimisk;22ef42
tuol_ta_mouk;22ef60
formiga;22ef6a
prasonisi_cape;22ef6f
tlacotlalpan;22ef83
una_una;22ef8d
saikhandulaan;22f097
abo_skargard;22f0a1
nanvaranak_lake;22f0ab
gangalidda_coast;22f0ba
mono_island;22f0d8
mouths_rhone;22f0e2
gulf_oman2;22f0ec
gulf_fethiye;22f0f6
timor_sea;22f1ec
storsjon;231231
kashmiri_himalayas;231313
upar_ghat;23170d
isinguro;236e94
garhwa;23ac14
udgir;24193a
brecon_beacons;242409
mawhera;24389a
pontefract;2440b7
wells;24424a
bandhugara;246380
grantham;247126
domboshaba;247685
skreen;247a9f
yarmouth;248f8f
kaikoura;250a9a
pangi;25114a
bastar;251705
nanga_parbat;251d1d
canada_high_sea15;2529c6
ujiji;252b94
dantewada;257736
balasore;25883e
ardtornish;258d8d
kilkenny;25934f
bab_kot;259488
kollam;25a23d
sillanwali;25a599
cambrian_mountains;260909
khami;264ba3
sena;265780
oswestry;2661da
thurso;266f84
masekesa;269637
ranchi;26963b
flamborough_head;271013
bijnot;272283
biligiriranga;27291f
ratnapura_LKA;275f26
madakalapu;276336
carlow;276a40
cambridge;277272
palampet;27759a
naserpur;27875a
skipton;2793f7
parenda;28411b
dongartal;284553
kendal;285854
kettering;28614f
katol;287a53
whanganui;287acd
kolayat;2887ae
jind;28a04d
motupalli;28a2bc
toledo;28b02e
anglian_coast;293239
naletale;293c99
strait_of_gibraltar;294449
parlakimidi;295a55
siwi;29611c
tanga;2978a3
dornoch;29839d
goa;29b0dc
canada_high_sea21;2a0380
canada_high_sea20;2a2185
alvastra;2a3008
canada_high_sea19;2a3f8a
raigarh;2a4941
tuam;2a4d79
riseberga;2a4e0d
untari;2a7416
chitradurga;2a761b
sonepur;2a790e
chiveve;2aa383
kapurthala;2ac896
north_uist;2b332e
builth;2b462a
khurda;2b49a2
dajal;2b623c
mandalgarh;2b6a9f
kolar;2b73b0
memba;2b827f
colchester;2b8d55
glendalough;2b9d71
tendukheda;2bbf6d
stockton;2bd1a8
kanyakumari;2c3dbd
qulensya;2c5037
durham;2cad69
bassein;2d146f
firth_of_tay;2d1c45
pal_lahara;2d3f17
dindigul;2d5a25
bosworth;2d73e7
salavata;2d898c
tora_nju;2d8a5c
lough_erne;2e2e4e
fatehabad;2e3b8a
kotte;2e4d12
dharapuram;2e52c8
leitrim;2e5a6d
al_khadra;2e8235
dhar;2e8e79
gaya;2eab15
sofala;2eb06d
ganderbal;2ec383
rakni;2f400c
misasa;2f6da3
tungi;2f799e
lynn;2f8585
mallorca_coast;2fbdaf
whakatu;303fcd
islay;304a71
leeds;3056f7
bristol;305862
clew_bay;305b3d
honnavara;306411
asirgarh;306455
chedzurgwe;306c82
mudhol;309093
gwalior;30ab4d
quelimane;30ab8e
arusha;30b083
hansi;30d9cf
tauihu;310dcd
mailan_hills;311a06
karur;312753
cape_wrath;314040
mullingar;31593b
jaund;316607
kawardha;317c5d
erris;319ecb
swansea;31c92a
lough_corrib;32154e
dang;322985
visakhapatnam;322de7
maputo;328d9c
sardarshahar;328f7c
wairarapa;3298ff
sarsuti;32d994
kantha;330e4b
allingsas;332906
helsinge;332910
oreshek;33291a
ranua;33291f
demnate;332929
unaizah;332933
kong;33293d
kouroussa;332947
mazaghan;332951
nikki;33295b
ondo;332965
sabe;33296a
east_pacific_high_sea69;332974
loa_mouth;33297e
tirekka;332a88
minna;332a9c
east_pacific_high_sea59;332aa6
tada;332ab0
sama_point;332ab5
tiout;332abf
east_pacific_high_sea67;332ac9
xagal;332ad3
barbacadle;332add
galapagos_high_sea4;332ae7
mogadishu;332af1
gambo;332afb
quz_rajab;332b01
noul_lamta;332b0b
garacad;332b15
rusii_de_vede;332b1f
trollaborg;332b29
somalian_mountains;332b33
al_jeblien;332b3d
omdurman;332b47
aby_lagoon;332b4c
gambia_river_mouth;332b56
fashoda;332b60
sherbro_coast;332b6a
adwa;332b74
nekemte;332c7e
antalo;332c88
lieka;332c92
ilimo;332c97
tulu_walal;332ca1
gimbi;332cab
abesehir;332cb5
arguin;332cbf
arapa_lake;332cc9
dargol;332cdd
el_bayadh;332ce2
juan_fernandez_high_sea4;332cec
juan_fernandez_high_sea6;332cf6
aranda_de_duero;332d01
santarem;332d0b
jorquera;332d15
laredo;332d1f
baza;332d29
lagos;332d2e
cadiz;332d38
tagmadert;332d42
dirkou;332d4c
gaoui;332d56
goudel;332d60
djenne;332d6a
punta_negra_salt_pan;332e79
lere;332e83
maradi;332e8d
ngouma;332e97
east_pacific_high_sea57;332ea1
atacama_salt_pan;332eab
pedernales_salt_pan;332eb5
soumpi;332ebf
sokoto;332ec4
punta_mbonda;332ece
tadla;332ed8
cape_verde_high_sea9;332ee2
cape_palmas;332eec
sijilmasa;332f01
mubi;332f0b
birnin_kudu;332f10
loga;332f1a
oum_hadjer;332f24
ngaoundaye;332f2e
sandare;332f38
sahel_corridor09;332f42
sahel_corridor20;332f4c
coipasa_salt_pan;332ff6
thuy_vi;333079
rishiri_channel;333083
oosu_cape;333097
miyako_cape;3330a1
ofuyu_cape;3330a6
george_lake_fl;3330c4
alborg_bugt;3330ce
fiji_high_sea_4;3330d8
marrakesh;3330e2
motta_cape;3330ec
khanaser;333110
totolapan;33311a
zlatoust;333124
grachevka;33312e
uyun_al_jiwa;333138
kadokura_cape;33313d
jurong;333147
gaoyou;333151
north_middle_atlas;33315b
tulnici;333165
ponta_das_bicudas;3331f1
accra_point;3331fb
ponta_do_lizardo;33326f
ashige_cape;333279
uchiura_bay;333283
nyuudou_cape;333288
serida_cape;33329c
manapouri_lake;3332a6
tokachi_coast;3332b0
fiji_high_sea_3;3332ba
west_sado;3332c4
disappointment_islands_high_sea_3;3332ce
rawaki_high_sea_14;3332d3
kalengue;333306
er_rich;333310
yancheng;33331a
shunchang;333329
wakasa_bay;333333
tenjin_cape;33333d
jizou_cape;33335b
quero_bank;333365
kaga_coast;3333f1
ochiishi_cape;3333fb
kinpei_cape;333474
hakata;333488
east_tsushima_strait;33349c
hajodae_cape;3334a6
kawashiri_cape;3334b0
west_tsushima_strait;3334b5
east_matsuwa;3334d3
lukow;3334dd
george_river_plateau;333501
makuhadokado;33350b
llanes;33351f
solimoes_amazon_jungle;333529
siberian_forests_4;333533
guzhen;33353d
pacific_south_current87;333556
musu_point;333560
fiji_high_sea_8;3335f1
shimabara_bay;3335fb
grand_passage;33366a
indian_australcurrent1;333674
rakvere;33367e
dowlatabad;333688
sangkulirang_bay;333692
east_seto_sea;333697
lake_nyuk;3336b5
oomura_bay;3336c9
kharpunath;3336d3
hirakubo_cape;3336dd
mashiki;333701
medinaceli;333715
estrela_mountains;33371f
manuae_atoll;333729
kubenskoye;33372e
haraz_mountains4;333738
as_salif;333742
qayyarah;3337e2
starbuck_coast;3337ec
indian_northagulhascurrent6;3337f6
hawaii_high_sea30;333860
les_blacklands;33386a
sebkhat_sidi_el_hani;333879
sahoyue;333883
lake_verkhneye_kuyto;3338ab
limfjorden;3338b5
colcolo_bay;3338bf
tatinnai;3338ce
yegaladapa;3338d8
lukenie;333910
al_harrah;33391a
sansanne_mango;333924
kongsvinger;333938
fominichi;333942
mashkel;33394c
zemlungrad;333956
kos;3339e2
glubocica;3339ec
bahreman;333a5b
crescent_lake;333a65
lake_maharlu;333a79
mayang;333a97
pacific_south_current86;333aa6
salacon;333ab0
lake_zhizhitskoye;333ac4
nuwuvi_desert;333b06
phulbani;333b10
owashtanong;333b24
atlantic_southcurrent37;333b3d
kwaskwuti;333b51
novigrad;333bd8
galapagos_high_sea7;333bec
pensacola_bay;333bf1
zabore;333c65
tboung_khmum;333c6f
bellona_coast_4;333c83
himalaya12;333cb0
tongatapu_high_sea_4;333cce
zhanggu;333d06
kicpahat;333d10
ad_dahna3;333d1a
jingili;333d1f
xinfeng_panyu;333d33
champavati;333dd3
olohega_coast;333de7
san_julian_bay;333dfb
pacific_north_current54;333e51
basra_al_hamra;333e5b
deyang;333e65
lake_aqqikkol;333e74
samoa_high_sea_3;333e88
lord_howe_coast;333e9c
moehe_yoe;333ea6
maracaibo_lake;333eb0
yap_high_sea_7;333eb5
niua_high_sea_4;333ec9
chaucalana;333f0b
swellendam;333f1f
lac_seul_upland;333f29
riau_jungle;333f33
tewo;333f3d
alexander_point;333fd3
bellona_coast_5;333ff1
axim;33404c
viterbo;334074
wahgunyah;334088
zhengcheng;334097
fagasa_bay;3340b5
ayrkol_lake;3340bf
cumberland_mountains_8;33410b
siegen;334115
prieska;33411f
montbrison;33412e
montmorillon;334138
orgelet;334142
caspian_sea23;3341c9
tekapo_lake;3341d3
saint_marceilin;3341ec
vieux_poste_point;3341f6
malagon;33424c
hoengcheon;334256
sevuokuk_point;334274
niuoku_coast_2;334279
troshovo;334283
bellona_coast_3;3342ab
nunusaku;334301
kunjabangarh;334310
svietlahorsk;33431a
daizhou;334324
umncumuba;33432e
bellona_coast_2;3343c4
samoa_high_sea_1;3343e2
macaw_coast_2;3343ec
kuopio;334442
ashida;33444c
ancona;334456
cofitachequi;33445b
paddar;33445f
dej;33446f
zaysan;334479
banjar;334483
yinshan;33448d
futuna_coast_1;334497
togian_archipelago;3344ba
changping;33451a
strasbourg;334524
bindal;33452e
niue_high_sea_2;3345c4
nikolskoye_andoma;3345d8
western_carpathians1;3345e2
fartak_cape;3345f1
ragay_gulf;3345fb
wila;334651
tupuai_high_sea_9;334665
cumberland_sound;33466f
kattegatt;334679
awabakal;334683
iliamna_lake;334688
gulin;33469c
tristan_high_coast7;3346a6
gora;3346b0
dagana;334710
lambo;33471a
pyeongju;334729
oki;334733
tuscarora_coast;3347c4
langqu;3347ce
yangam;334851
pacific_north_equatorial_current11;33485b
chinali;334865
pacific_north_current45;33486a
indian_monsooncurrent8;334874
pogoreloye;33487e
samoa_high_sea_5;334888
black_bear_bay;3348b0
alba_iulia;334901
lezhnevo;33490b
verba;334915
qushan;33491f
derge;334929
ganja;3349b5
kuki_airani_high_sea_12;3349bf
manmaw;3349dd
revillagigedo_high_sea9;3349e7
rotumah_coast;3349f1
shuitejiang;3349fb
yeremeyevka;334a33
pacific_north_equatorial_current23;334a60
pacific_north_current67;334a74
lucenilla_peninsula;334a7e
rustavi;334a88
jangjin;334b01
nizhny_lomov;334b0b
sarab;334b1f
ayacucho_jungle;334b29
krupki;334bb5
groais_island;334bc9
tiruppur;334bf6
kuntokling;334c2e
talang_mamak;334c38
binchuan;334c42
bukcheong;334c4c
atlantic_north_equatorial_current20;334c56
comondu_coast;334c60
pagan_coast;334c74
pacific_north_current61;334c79
hawaii_high_sea17;334c97
tejend;334d01
khilgoson;334d10
bhavani;334d1a
malegoondeet;334d24
durres;334db5
grojec;334dbf
aono_raina_high_sea_18;334dc4
red_river_delta;334dce
arnar_fjord;334de2
este_point;334df6
folopa_jungle;334e2e
dubok;334e38
co_dang;334e42
landytuv;334e4c
zawr_cape;334e5b
australia_highseas_45;334e65
quito;334e6f
mu_ngava_high_sea_5;334e79
solt;334e8d
indian_southequatorialcurrent13;334e97
indian_southcurrent6;334ea1
arkhangelskoye;334f06
malchin;334f10
kumeyaay;334f1a
gallipoliita;334fb0
bolshoy_kosogol;334fba
new_caledonia_high_sea_1;334fc4
montmedy;334fd8
montlucon;334fe2
angamos_point;334ff1
renshou;335024
guhu_samane_jungle;33502e
jucuru;33503d
tahkeeosteh;335047
indonesia_high_sea53;335051
mackenzie_mtns;33505b
north_sea9;335065
pacific_north_current57;335083
rotuma_high_sea_2;335088
indian_equatorialcountercurrent1;335092
dzisna;33509c
shimamaki;335106
gadag;335110
maguana;33511a
lake_narach;3351c4
mwotlap_high_sea_9;3351ce
shijiu_lake;3351d3
chiginagak_fjords;3351f1
abuta;335229
echi;33523d
north_polynesian_sea;335247
rudnik;335251
gangdise4;33525b
atlantic_equatorial_countercurrent14;335265
anen_kio_high_sea_2;33526a
tuvalu_high_sea_6;335292
yshyr_forest;33530b
jingyang;335315
buchanan_lake;33539c
sadeng;3353a6
indian_southcurrent5;3353b5
mansa_bay;3353bf
marumung_bay;3353c9
keraudren;3353d3
notre_dame_bay;3353fb
mekinac;335429
elburz_mountains8;335433
bembe_buyu;33543d
ternopil;335447
lake_zuun_tooroi;335460
tahanea_coast;33546a
changshou_changshou;335474
qingfu;33547e
pitcairn_islands_high_sea_4;335488
gongtai_ji_naier_lake;335492
nishikanbara;33550b
indian_monsooncurrent19;3355a1
santal_bay;3355ab
bitterfeld;3355b5
nororotu_coast;3355c9
temotu_high_sea_2;3355d3
lake_sentarum;3355e2
calcasieu_lake;3355ec
taga;33562e
borborud;335638
chattarawa;335642
purace;33564c
guanzhou;335660
east_pacific_high_sea14;335674
caribe_sea9;335679
rotuma_high_sea_3;33568d
tconsiep;335701
doboj;33570b
mwotlap_high_sea_6;3357a1
kongkok_bay;3357ab
bellona_high_sea_1;3357bf
south_western_pyrenees3;3357c4
bou_saada;3357ce
maracona_gulf;3357d8
faaite_coast;3357e2
butha_buthe;335810
ashca_caycu;33581a
shalatenan;33582e
kisiskaciwani_sipiy;335838
little_sandy_desert;33584c
chateau_du_loir;335856
chawchila;33586f
gaoyao;335879
sawata;335883
weichu;335906
salemi;33598d
muhayil;3359a6
atlantic_irminger_current17;3359b0
forfar;3359ba
pangkog_lake;3359e2
bolshoye_topolnoye;3359ec
chianouske;335a10
nochpeem;335a1a
kawachi;335a24
wasserburg;335a2e
przemysl;335a47
oma;335a51
makira_high_sea_2;335a6f
smoky_bay;335a83
maribor;335b88
south_china_sea7;335b92
nuwuvi_wasteland;335ba6
maldives_high_sea_3;335bba
new_caledonia_high_sea_5;335bc4
nicosiasic;335bce
muhldorf;335bd3
bellona_high_sea_3;335bdd
selephu;335bf1
tikopia_high_sea_1;335bfb
attequa;335c06
kaga;335c1a
kota_rentang;335c29
chitimbe;335c3d
ash_shuara;335c47
coppermine_river_upland;335c5b
kitchesatsiou;335c65
ichihara;335c6a
trencin;335c74
bellona_high_sea_4;335c7e
indispensable_coast_1;335d92
andaman_sea5;335d9c
east_pacific_high_sea87;335da6
melilis_island;335db5
presov;335dbf
sumbreng_bay;335dc9
sebkhat_sokhna;335dd3
bellona_high_sea_7;335de7
indian_southcurrent24;335df1
shirakawa;335e01
malta;335e0b
izeh;335e1f
manama;335e33
hoi;335e74
lake_dayan;335f7e
mwotlap_high_sea_4;335f88
buckeburg;335f92
talacogon;335f97
mwotlap_high_sea_3;335fab
western_atlantic_high_sea19;335fb5
lake_sevan;335fbf
indian_equatorialcountercurrent14;335fc9
lake_tuzdysor;335fd3
ziro;335fe2
tralhavet;335fec
new_caledonia_high_sea_7;335ff6
seta;336001
eschenbach;33600b
sarahan;336042
badozhsky;33604c
pahatsi;33606a
atlantic_north_equatorial_current29;336074
minnewaukan;336179
phelps_lake;33618d
turili;336197
zephyr_coast;3361a1
limari_mouth;3361b5
tristan_coast;3361c4
mwotlap_high_sea_5;3361ce
st_helena_highseas_5;3361d8
enare_trask;3361e2
torne_trask;3361ec
uddjaur;3361ee
storavan;3361ef
huangmei;336201
kickatari;33620b
enghien;336210
tecoanapa;33621a
durango;33622e
langarud;336238
east_taurus_9;33625b
tybee;33626f
malaren;3362f6
trufany;336379
pacific_polynesia_current37;336383
new_caledonia_high_sea_9;33638d
kluczbork;336397
basel;3363a1
pitcairn_islands_high_sea_2;3363b0
bukhta_ossora;3363ba
komarom;3363c4
karaginsky_coast1;3363ce
lake_zharkol;3363e2
lagoon_of_salses;3363ec
qianzhou;336406
fernando_noronha;336410
omchikan;33641a
shuixi;336424
roncesvalles;33642e
kapan_armenia;33643d
mechiso;33645b
indonesia_high_sea30;336465
dzindlat_bun;3364fb
gorontalo;33656f
atlantic_north_equatorial_current21;336579
svencionys;336592
great_chagos_coast_2;33659c
pacific_north_current52;3365ba
okhotsk_high_sea1;3365c4
lastre_point;3365ce
hudson_bay_high_sea4;3365d3
hennebont;33661a
shakhty;33661f
awyu_jungle;336629
musi_hilir;336633
niya;33663d
caete_brasil;336647
yuanling;336651
caribe_sea19;33665b
west_gulf_of_finland;336665
norwich;336666
blanco_cape_plata;3366fb
miskolc;33676a
gananggalinda;336774
kay_reef_shore;336788
zbarazh;336792
aono_raina_high_sea_16;33679c
madura_strait;3367a6
sea_of_japan7;3367b0
puruvesi;3367b5
sion;3367bf
ouargla;3367c9
lake_vozhe;3367d3
grodno;336801
cocollan;336815
yungas_jungle;33681f
julau_kutai;336829
baijnath;336833
baraqish;336847
dioumara;33684c
kalumpang;336856
baffin_high_sea2;336860
brac;3368e7
suntar;336974
slawno;33697e
kinguchi;336988
salt_lake;336992
timbiqui_bay;336997
cape_rangas;3369c9
atlantic_south_sainthelenacurrent6;3369d3
siberian_lakes_2;3369dd
saryozen;336a01
nongan;336a0b
heping;336a15
nandian;336a1f
bomoping;336a29
gravia;336a2e
shaxi;336a38
bazhai_duyun;336a42
chagos_high_sea_2;336ae2
nimde;336af6
shangaly;336b60
baia_de_aries;336b79
juan_fernandez_high_sea3;336ba1
hala_lake;336bb5
asht;336c01
north_pumpu;336c10
pirmasens;336c1a
achomawi;336c2e
kwajalein_atoll;336c38
irelyakh;336c4c
alexandrina_lake;336ce2
rakovnik;336cec
south_china_sea37;336cf6
ahmednagar;336d17
caribe_sea22;336d6f
pacific_north_equatorial_current32;336da6
nomwin_coast;336dba
amol;336e10
saryazd;336e24
zavareh;336e38
ani_south;336e47
lichtenfels;336e51
central_apennines4;336ee2
xicalango_point;336eec
indian_monsooncurrent18;336ef1
natuna_archipelago1;336efb
lengshuitan;336f5b
indonesia_high_sea15;336f6f
hereheretue_coast;336f92
taungataki_coast;336fa6
pacific_south_equatorial_current8;336fb0
pacific_south_equatorial_current31;336fba
efate;337006
suna;337010
tipatikka;33701a
tlamazolan;337029
pacific_south_current39;337047
pacific_north_current46;3370d3
elassona;3370dd
vonnu;337151
micronesian_sea;33715b
african_high_sea39;337165
atlantic_gulf_stream3;33717e
xingan;337188
java_sea7;337192
tamaulipas_coast;3371b0
belzig;3371b5
glarner_alps;3371bf
kavalan;33720b
baependi_forest;337215
guanare;33721f
gottingen;337229
hoa;337247
chambery;3372e7
east_china_sea7;3372f1
ural_forest;33734c
mahoning;337360
bastia;33736a
ishpatina_ridge;337374
denmark_strait2;337388
thouars;337397
aono_raina_high_sea_14;3373a1
gacko;3373ab
pacific_north_equatorial_current51;3373b5
south_china_sea8;3373bf
bejaia;337401
ksar_el_boukhari;33740b
czluchow;337415
cemar;337438
manjimup;337442
pacific_south_equatorial_current44;3374c9
north_spencer_gulf;3374d3
iripua_bay;3374e2
cowan_lake;3374ec
burg;33754c
ticonderoga;337556
jawor;33756a
leibnitz;3375a1
sagaing;33760b
west_hanos;337624
muwayh;337638
dall_lake;3376c4
nauru_high_sea_2;3376ce
admiralty_sound;3376f6
karakum_desert5;337742
lena_trail3;33774c
matarinao_bay;337779
zanzibar;337780
honih_hiyo_he;33778d
pacific_kuro_current7;337797
pulmo_cape;3377a1
pacific_north_current40;3377b0
minto_coast_1;3377ba
tataouine;337806
luchuan_rongzhou;337824
batag_island;3378c4
pacific_south_equatorial_current29;3378ce
coats_island3;3378d8
comacchio;3378e2
wastina;3378ec
kenai_fjords;3378fb
dyrashnichikha;337951
south_china_sea39;33795b
lake_aksehir;337965
african_high_sea69;33796f
baffin_bay;337983
ichinskiy_coast;33799c
dorogobuzh;3379a6
dasht_khara2;337a06
berceto;337a1f
an_nafud2;337a33
caba_wakpa;337ac4
cami_lake;337ace
atlantic_southequatorialcurrent40;337afb
drayab;337b47
paribari;337b51
caroline_coast_2;337b65
middelburg;337b6a
st_aignan;337b74
tanakeke_strait;337b88
chisinau;337b92
cham;337b9c
north_cape;337ba6
bangka_strait;337bb0
tangdan;337c0b
pacific_north_current24;337cb5
tursunt;337cdd
pacific_north_current55;337cfb
karcha_kala;337d33
nng;337d4c
michipicoten;337d56
finalborgo;337d60
padrone_cape;337d6a
indian_coast16;337d74
east_canarreos_archipelago;337d88
polonio_cape;337d92
ocheyedan;337d97
tombigbee;337e01
svir_beloozero;337e15
kose_mountains_2;337e29
north_sea11;337eb5
mjosa;337ec9
cape_lelar;337ed3
onushkis;337edd
sea_of_japan5;337ee2
cape_bangsi;337eec
uschu;337f2e
garmisch;337f38
menageesenog;337f42
lhuntsi;337f56
hachberg;337f60
caribe_sea27;337f6a
sierra_nevada_n;337f8d
poudioue_coast;337f97
alba;337fa1
chitkan;338010
passagassawkeag;33801a
hanyang;338024
unga_sea;3380ab
kyebxang_lake;3380b5
lagoon_of_comacchio;3380c4
weiz;3380d8
meskiana;3380e2
triste_gulf;3380ec
salzburg;33812e
chachersk;33814c
kawich;338156
calansho_desert;33815b
farkhor;338165
huangan;33816f
holland_coast;338179
nadlehbun;338183
north_western_pacific3;33818d
scharding;338197
kusk_kohneh;338210
mahgas;33821a
maaqtusiis;3382c4
turin;3382e2
cauit_point;3382f1
kobyai;338324
mamterat;33832e
bissagos;33833d
siberian_wasteland_7;338347
sorocaba;338351
muinawamek;33835b
lembeh_island;338388
reka_pur;338392
atlantic_southcurrent47;33839c
gilju;338406
arzu;33841a
pueyrredon_lake;3384b0
augsburg;3384c4
coronado_gulf;3384ce
grande_mouth;3384d3
pacific_south_equatorial_current9;3384dd
mushikitee;3384e7
jiangyou;3384f1
yellow_sea5;3384fb
varallo;33851f
bastogne;338529
lean_fuzhou;338533
north_juma;338551
linxiang;33855b
skahuukaawiat;338565
khoro;338574
tong_talun;338601
yongfu_fuzhou;33869c
haizhou_bay;3386a6
chagos_high_sea_7;3386b5
ursus_cove;3386bf
oyusut;3386dd
south_china_sea3;3386e7
nauru_high_sea_5;3386f1
pacific_easter_current1;3386fb
frutigen;338729
barten;338733
zamora;33873d
penlamu;338747
chagda;33874c
kantishna;338756
siberian_wasteland_16;33876a
djaul_island;338774
neumarkt;338788
saamis;338801
monthey;3388a1
lake_athabasca;3388b5
fryvaldov;3388c9
vyskov;3388d3
hamun_mashkel;3388dd
biloxi_bay;3388e2
fulda;3388ec
western_atlantic_high_sea63;3388f6
mushuau;338915
huaiyuan_mizhi;338929
yemilchyne;33892e
laoling;338942
toolginburra;338956
patgasa_wakpa;33896a
chornobyl;33898d
cape_dahway;338ab5
temnikov;338ac4
asola;338ace
great_bitter_lake;338ad8
oyster_bay;338aec
manas;338b10
shaxian;338b38
zhangqiu;338b42
north_pacific_high_sea72;338b4c
kauo_coast;338b56
sinsheim;338b65
oberdorf;338b6f
african_high_sea34;338b79
daihai_lake;338b83
daman;338bbd
zeku;338c06
east_colorados_archipelago;338c97
olga_bay;338ca1
lesser_slave_lake;338ca6
green_bank;338cb0
aurukun_coast;338cc4
vaga;338ce2
pacific_south_equatorial_current7;338cec
caspian_sea32;338cf1
menahkwesk;338d10
hall;338d1a
argentan;338d24
mglin;338d2e
cavalese;338d38
northern_sinai_desert1;338d3d
chimgi_tura;338d47
gustrow;338d51
udomlya;338d65
tribuga_gulf;338d79
indian_coast23;338d83
eastern_atlantic_highseas_3;338e88
japan_high_sea8;338ea6
atlantic_north_equatorial_current8;338eb0
kiusta_point;338ec4
palena_lake;338ed3
sens;338ef1
heiligenhafen;338f1a
bayreuth;338f1f
kalaa_of_ait_abbas;338f3d
arges;338f51
montbeliard;338f65
tubuai_coast;338f74
