AAC;Aachen
PRK;Pronsk
PRM;Perm
PRO;Provence
PRT;Mandore
PRZ;Peruzzi
PSA;Pasai
PSK;Pskov
PSS;Passau
PST;Pistoia
PSZ;Simmern
PTC;Phetchaburi
PTE;Pate
PTG;Pitigliano
PTL;Puctlan
PTN;Patna
PTP;Pantepec
PTZ;Píngtóuzhekě;Pingtpuzheke
PUA;Pua
PUR;Purang
PWS;Powys
PYE;Píngyuè;Pingyue
PZL;Pereyaslavl-Zalessky
QAN;Q'anjob'al
QCH;Qocho
QGM;Quigualtam
QGS;Qióngshuǐ;Qipngshui
QHT;Qahtān;Qahtan
QHZ;Quiahuiztlan
QIG;Quiegoqui
QJG;Qūjìng;Qujing
QLL;Quauhquechollan
QLM;Quelimane
QOM;$qom$
QTA;Qata
QUA;Cuauhtemallan
QUB;Gera
QUL;Qulla
QUN;Qara'unas
QUZ;Quizquiz
QYN;Qìngyuǎn;Qingyuan
RAG;Ragusa
RAN;Rano
RAV;Ravenna
RAW;Rawa
RBG;Rietberg
RCB;Racibórz;Racibprz
RCC;Rochechouart
RCH;Recherla
RDL;Riedesel
RDY;Reddi
REG;Regensburg
RET;Rethel
RGG;Reggio
RGM;Róngměi;Rpngmei
RGS;Rongshan
RIE;Rieneck
RIG;Riga
RIM;Rimini
RJI;Rajpipla
RJR;Rajouri
RKK;Rokkaku
RKL;Rankali
RKS;Raksel
RND;Réndé;Rende
RNG;Róng;Rpng
RNK;Ranekouh
RNP;Ranpur
ROS;Ross
ROT;Rothenburg
ROU;Roucy
RRU;Barru
RSH;Rasht
RSO;Rostov
RST;Rostock
RTB;Ritzebüttel;Ritzebuttel
RTP;Ratnapura
RUP;Ruppin
RUT;Rutul
RVA;Ravensburg
RVB;Ravensberg
RWA;Rwanda
RYA;Ryazan
RYL;Rylsk
RZB;Ratzeburg
RZH;Rzhev
SAA;Saarbrücken;Saarbrucken
SAB;Sausenberg
SAG;Sagaing
SAK;Sakha
SAL;Saluzzo
SAM;Samoa
SAN;Sancerre
SAO;Salona
SAV;Savoy
SAW;Saarwerden
SAY;Sayollan
SBA;Shiba
SBG;Santubong
SBL;Balliol
SBU;Selimbau
SBY;Subay
SBZ;$sabzevar$
SCB;Schauenburg
SCI;Ścinawa;scinawa
SCL;Saint-Claude
SCO;Scotland
SDG;Shǔidōng;Shuidong
SDR;Sidenreng
SDZ;Sieradz
SED;Sedang
SER;Serbia
SFA;Sofala
SFC;Strasbourg
SFR;$esfarayen$
SGE;Sagae
SGH;Sanghana
SGL;Grey League
SGN;Sonargaon
SGR;Sagara
SGS;Shàngsī;Shangsi
SGT;Siguntur
SGU;Sanggau
SGZ;Sāngzhí;Sangzhi
SHB;Shabankara
SHG;Shanglin
SHJ;Shijō;Shijo
SHK;Sharkha
SHM;Shammar
SHN;Shōni;Shoni
SHO;Shō;Sho
SHP;Sahib Ataids
SHR;Saharan
SHS;Sondershausen
SIC;Sicily
SIE;Siena
SIG;Siang
SIH;Sihanaka
SIT;Sion
SIZ;Siewierz
SKA;Sakalava
SKE;Scania
SKI;Shaki
SKK;Sikkim
SKN;Suakin
SKT;Suket
SKY;Starodub
SLA;Silat
SLD;Suldus
SLE;Salé;Sale
SLI;Sabuli
SLK;Selkup
SLM;Salm
SLN;Carbury
SLP;Selaparang
SLT;Solothurn
SLV;Schleswig
SLZ;Salzburg
SMA;Samma
SMB;Sambas
SMD;Samland
SME;Samtskhe
SMG;Sīmíng;Siming
SML;Sanmalan
SMO;Smolensk
SMS;Simsir
SMV;Sambuvarayar
SMZ;Shimazu
SND;Sindh
SNG;Singapura
SNP;Sōngpān;Songpan
SNT;Sentispac
SOA;Shewa
SOB;Sobaipuri
SOH;Sohri
SOM;Sōma;Soma
SON;Songhai
SOR;Lusatia
SOS;Sus
SOU;Sō;So
SPB;Spremberg
SPG;Shípíng;Shiping
SPL;Spoleto
SPN;Suphanburi
SPO;Sponheim
SPY;Spira
SRA;Sora
SRB;Sarbadars
SRC;Soroca
SRG;Sarangarh
SRM;Nahan
SRU;Saruhanids
SRV;Shirvan
SSG;Ssangseong
SSH;Suksuhu
SSI;Străşineţ;Strasinet
SSK;Slutsk
SSP;Sansepolcro
STC;Daikakuji
STE;Stettin
STG;St. Gallen
STK;Satake
STN;Saptagram
STP;Saint-Pol
STR;Santara
STS;Starodub-Siverskyi
STU;Suetsugu
STV;Stavelot-Malmedy
STY;Styria
STZ;Strzelce
SUE;Sue
SUK;Sukhothai
SUL;Lupah Sug
SUN;Sunda
SUR;Sura
SUT;Sutayids
SUW;Suwa
SVA;Sosva
SWB;Saxe-Wittenberg
SWD;Świdnica;swidnica
SWE;Sweden
SWH;Schwäbisch Hall;Schwabisch Hall
SWI;Switzerland
SWR;Schwerin
SWT;Swat
SWZ;Schwarzburg
SXI;Shǔixī;Shuixi
SXM;Samogitia
SYE;Speyer
SYG;Shěnyáng;Shenyang
SYN;Sayn
SYU;Syunik
SYY;Saqiyya
SYZ;Schwyz
SZG;Shīzōng;Shizong
SZH;Sīzhōu;Sizhou
SZI;Shezi
SZL;Suzdal
SZU;Shízhù;Shizhu
TAA;Tlalpan
TAE;Tahue
TAI;Tairona
TAK;Daijō;Daijo
TAL;Tanala
TAO;Iałopháybo;Ialophaybo
TAR;Purépecha;Purepecha
TAT;Touat
TAX;Taximaroa
TAZ;Táozhōu;Taozhou
TBA;Tabasaran
TBK;Tumbuka
TBY;Tabary
TCC;Tepecoacuilco
TCH;Tlachco
TCK;Tecklenburg
TCP;Tlacōpan;Tlacopan
TCQ;Ndisi Nuu
TCY;Tlapacoyan
TDE;Tanade
TDG;Tidung
TDJ;Tacettinids
TDO;Tondo
TEE;Tetela
TEG;Tegüima;Teguima
TEK;Teke
TEL;Caxcan
TEM;Temirgoy
TEN;Tenkodogo
TEO;Teotitlan
TEP;Tepanecapan
TER;Ternate
TES;Cieszyn
TET;Tétouan;Tetouan
TEU;Teutons
TEY;Teypana
TFK;Tirafka
TFL;Tafilalt
TGG;Toggenburg
TGH;Tireragh
TGR;Tóngrén;Tpngren
TGS;Togashi
TGT;Touggourt
TGU;Tegüis;Teguis
TGY;Tángyá;Tangya
THD;Truhendingen
THE;Thessalonica
THO;Thomond
THP;Thopia
THS;Thessaly
THT;Tehuantepec
THU;Thuringia
TIB;Tibet
TID;Tidore
TIM;Timurid
TIR;Tyrol
TJP;Tanjungpura
TKD;Takeda
TKI;Toki
TKM;Takashima
TKN;Tokunō;Tokuno
TKO;Takō;Tako
TKR;Takrur
TKU;Thekkumkur
TLA;Tixtla
TLE;Tlemcen
TLL;Tetellan
TLM;Tulam
TLO;Teloloapan
TLP;Tlapan
TLQ;Tlatlauquitepec
TLT;Tlacotlalpan
TLW;Taliwang
TLX;Tlaxcallan
TLY;Tlapacoya
TLZ;Tlalcozauhtitlan
TMB;Timbuktu
TMD;Tsuchimochi
TMK;Tadmekka
TMN;Tamna
TMR;Tamura
TMS;Temascaltepec
TMT;Tomatlan
TNC;Tenōchtitlan;Tenochtitlan
TND;Tandroy
TNG;Toungoo
TNK;Pandya
TNL;Tonallan
TNN;Tano
TNP;Tiānpíng;Tianping
TNQ;Tiānquán;Tianquan
TNT;Trent
TNX;Tenamaztlan
TNZ;Tiánzhōu;Tianzhou
TOA;Toa
TOG;Tu'i Tonga
TOH;Tochtepec
TON;Tonnerre
TOO;Tohono O'odham
TOR;Torres
TOS;Toshima
TOT;Cempohuallan
TOU;Toulouse
TOY;Tōyama;Toyama
TOZ;Toztlan
TPG;Tàipíng;Taiping
TPL;Teposcocula
TPN;Tecpatitlan
TPS;Toropets
TPT;Tecpantepec
TPX;Tepexic
TPY;Tepeyacac
TRA;Transylvania
TRB;Trubchevsk
TRE;Trebizond
TRF;Taraf
TRI;Trier
TRK;Tarki
TRN;Turn
TRO;Travunija
TRP;Tripoli
TRS;Tarusa
TRV;Treviso
TRY;Tyrconnell
TSE;Tesechoacan
TSK;Tsakho
TSM;Tenasserim
TSN;Tsenacommacah
TSO;Tsoyaha
TST;Tuf Shur Tia
TTA;Teutila
TTC;Tamtoc
TTE;Trieste
TTN;Tortona
TTR;Totorame
TTZ;Acolhuacan
TUB;Tübingen;Tubingen
TUC;Tuckabutchee
TUL;Toul
TUN;Tunis
TUR;Ottomans
TUT;Tototepec
TUV;Turov
TUZ;Tozantlan
TVE;Tver
TVS;Tavas
TWI;Twipra
TXI;Tíxī;Tixi
TXP;Tuxpan
TYR;Tyrone
TYY;Taytay
TZC;Tollantzinco
TZE;Tzeltal
TZH;Tziuhcoac
TZI;Tzitacuaro
TZL;Teozacoalco
TZM;Tamazollan
TZP;Tetzapotitlan
TZU;Tz'utujil
TZW;Tozawa
TZZ;Tzapotzingo
UAU;Cuauhteopan
UAY;Uaymil
UBH;Buha
UBL;Überlingen;uberlingen
UBV;Upper Bavaria
UEN;Ueno
UES;Uesugi
UFF;Hohenlohe
UGH;Ughanids
UGL;Uglich
UGW;Ungwana
UGX;Ugaxpah
UJJ;Ujjainiya
ULA;Ula
ULM;Ulm
ULS;Ulster
UMA;Umasuyus
UMH;Owill
UMO;Umoho
UNN;Unnō;Unno
URB;Urbino
URC;Urin Chanka
URI;Uri
URY;Uryangkhad
UTB;Otaibah
UTN;Utsunomiya
UTR;Utrecht
VAL;Valencia
VBG;Valkenburg
VBK;Vitebsk
VDK;Vadakkumkur
VDM;Vendôme;Vendqme
VDU;Verdun
VDZ;Vayots Dzor
VEL;Veldenz
VEN;Venice
VER;Verona
VID;Vidin
VIJ;Vijayanagar
VIN;Vicenza
VLD;Valluvanad
VLN;Valentinois
VLR;Vladimir
VLS;Valois
VLT;Volterra
VNA;Vunda
VND;Venad
VNT;Ventadour
VOH;Vohemar
VOL;Volhynia
VRD;Verden
VTN;Vientiane
VUD;Vaud
VUN;Vungu
VYA;Vyazma
VYT;Vyatka
WAD;Wadai
WAG;Waga
WAL;Wallachia
WAR;Warsangali
WBG;Würzburg;Wurzburg
WCH;Wachi
WDB;Waldberg
WDE;Waldeck
WDG;Wǔdìng;Wuding
WEI;Weißenburg;Weibenburg
WER;Werdenberg
WGG;Wanggiya
WGH;Waghtochtatta
WGO;Wernigerode
WHL;Wehale
WIE;Wied
WLD;Waldsassen
WLS;Wales
WMA;Weimar
WMO;Wēimào;Weimao
WNA;Wanga
WNG;Wūméng;Wumeng
WNT;Wuntho
WOL;Wolgast
WRC;Wrocław;Wroclaw
WRG;Wairagarh
WRM;Worms
WRN;Waren
WSA;Wūsā;Wusa
WSZ;Washizu
WTG;Wittgenstein
WTZ;Wetzlar
WUN;Muna
WUR;Württemberg;Wurttemberg
WUU;Wú;Wu
WZH;Wǔzhài;Wuzhai
WZZ;Wazhazhe
XAL;Xalisco
XAP;Xalapan
XCG;Xīnchéng;Xincheng
XCH;Xochimilco
XCP;Xochiapan
XCT;Xochitepec
XIC;Xicochimalco
XIH;Xiuhtlan
XIL;Xilotepec
XIU;Tutul-Xiu
XIX;Xixime
XLG;Xianlong
XLL;Xllang
XLT;Xalostotitlan
XNG;Xianning
XNL;Xinlong
XOC;Xochipillan
XOL;Ch'ol
XSY;Xīshānyáng;Xishanyang
YAB;Yabe
YAH;Yahualican
YAL;Yalu
YAM;Yām;Yam
YAN;Yáo'ān;Yao'an
YAP;Yap
YAQ;Yaqui
YAR;Yaroslavl
YAS;Yas
YAT;Yatenga
YAU;Yautepec
YCH;Yucu Satuta
YDR;Yadavaraya
YDZ;Yodzocahi
YEH;Yehe
YEM;Yemen
YGS;Yǒngshùn;Yongshun
YJI;Yánjǐng;Yanjing
YMG;Yamaguchi
YMN;Yamana
YMS;Yamasee
YMT;Yamato
YNG;Yǒngníng;Yongning
YNH;Yánhé;Yanhe
YNJ;Yuánjiāng;Yuanjiang
YNL;Yúnlián;Yunlian
YNN;Yongning
YOH;Yohualtepec
YOK;Yoko t'aanob
YPZ;Yopitzinco
YRV;Yuriev-Polsky
YSM;Yoshimi
YSN;Yǒngshùn Zhuang;Yongshun Zhuang
YSR;Yamashiro
YSU;Yasa'uri
YUA;Yuán;Yuan
YUK;Yūki;Yuki
YUS;Yuasa
YYG;Yǒuyáng;Youyang
YZO;Yìzuǒ;Yizuo
ZAB;Zab
ZAG;Żagań;zagan
ZAM;Zamfara
ZAN;Kilwa
ZAP;Zaachila
ZAQ;Chunsua
ZAT;Zacatlan
ZAZ;Zaporizhia
ZBR;Zebari
ZCT;Zacatollan
ZCZ;Zacazonapan
ZEE;Zeeland
ZEN;Zenú;Zenu
ZFI;Vohipeno
ZGH;Zagha
ZGL;Zhōnglù;Zhonglu
ZIB;Zi'b
ZIE;Ziębica;Ziebica
ZIG;Ziegenhain
ZIN;Zinapecuaro
ZIP;Muyquyta
ZLD;Zhonglindong
ZMR;Kozhikode
ZMW;Zimbabwe
ZNI;Zuni
ZNK;Zanskar
ZNN;Zhèn'ān;Zhen'an
ZNX;Zhènxióng;Zhenxipng
ZNZ;Zhēnzhōu;Zhenzhou
ZOM;Tzompanco
ZRQ;Zirqan
ZUB;Zubtsov
ZUR;Zürich;Zurich
ZUT;Zutphen
ZWE;Zweibrücken;Zweibrucken
ZYI;Zhānyì;Zhanyi
ZZB;Zanzibar
ZZR;Zerzari
ZZZ;Zazzau
